,prod_id,images,string
0,5f5140655d6a264836616ed5,"['279c81b74f951a070432blob', '4b2a07376984970b088dblob', '0dd2849319d3157476e1blob', 'ab761e806e8af509e975blob', '79a1be1f7bb8f1d3b1abblob', '5f7969a0529fe6d75b71blob', '233db26bf181e0c7c720blob', '754601b5a31a65a30dd6blob', 'c892edd66dbcbdbb7995blob', '0bfb45ccb412da9a673fblob', None, None]","champion mens authentic athleticwear gray hoodie solid mediumchampion mens authentic athleticwear gray hoodie solid medium
brand: champion
model: authentic athleticwear
category: men
color: gray
material: 
style: hoodie
pattern: solid
size: medium
season/weather: 
care: 
sleeve(neck to wrist): 29 in
length(neck to hem): 26 in
arm seam to arm seam:  21.5 in





men"
1,5f6c19377b02bf7617bfbac2,"['b5da4ed0a351e66c077fblob', '99d24875e4b4efca4168blob', '5fa1ceb17f461f24ae62blob', 'd5b506966606614eaf7ablob', 'e19d2869659aa71c5d0eblob', '50ee31ece792e55dce77blob', '9039198cb47a328012eeblob', '86f4a5e69cedad7a60a6blob', None, None, None, None]","public opinion mens gray pullover long sleeve lined soft hoodie size mediumpublic opinion mens gray pullover long sleeve lined soft hoodie size medium
brand: public opinion
category: men
men"
2,5f6d60677b02bf7617bfbbca,"['6827cd09942863784b78blob', 'a593ea2572bd429144b3blob', '8ae4e6d97155b25d989eblob', '3f15c4c44e1cc17bcaadblob', '49c3eda1b12c7aebe0b5blob', 'afbdb771796859082fb6blob', '27e18cfbafcbbf09ae7eblob', '1d0bc8bfe3eb423fd9a3blob', None, None, None, None]","vince mens heather black marled linen pullover hoodie sweater size xlvince mens heather black marled linen pullover hoodie sweater size xl
brand: vince
category: men
men"
3,5f611eb12cbab809a5749ded,"['0207f280ec3414f71658blob', '81849bee91b13069efdcblob', '74211ca4604b2c1b350bblob', '8fa68aa17108ad8b4d1fblob', 'e782792cb20e75719162blob', None, None, None, None, None, None, None]","
brand: pacsun
model: hoodie
category: men
color: 
material: 
style: 
pattern: 
size: 
season/weather: 
care: 








men"
4,5f6120762cbab809a5749df1,"['27312f5abcf687f4bae4blob', '5d5775bb19df5ee8112cblob', '9b986cd929ce6b93909fblob', '00a12bd3f7acfd58d6a2blob', 'cf52db1bdb79876b49c6blob', None, None, None, None, None, None, None]","
brand: free planet
model: hoodie
category: men
color: 
material: 
style: 
pattern: 
size: 
season/weather: 
care: 








men"
5,602205cc032aff45fb42f326,"['aef3cc7e4fcfe3d1f138blob', '9471d12a746553344a80blob', '3d64c080c7fea7cf19d3blob', '17f1cf7f7247ed4dff7eblob', '72bd7de0e36f6f3aadc0blob', 'd874960a6cb01faab967blob', None, None, None, None, None, None]","dandee peeps yellow hoodie teddy bear 2014 easter plush stuffed animal toydandee peeps yellow hoodie teddy bear 2014 easter plush stuffed animal toy

"
6,60a07c9cca4e450019cd9d74,"['MDbtD-mNVnsBN_N', 'vKshW_XH0mDPNSj', '9QU7Ods_BcRaNBw', 'U1Z67yW3iYiJWQi', 'mGL4PmoFD42dFwn', 'aWAMPfdxHT-wJ8c', 'NG-CyD1NBU9depo', 'F9eIsEYkUv0S6cZ', None, None, None, None]",dravus mens black denim super soft snap closure long sleeve hoodie jacket sz xl dravus mens black denim super soft snap closure long sleeve hoodie jacket sz xl   
7,5f7e66e3fc80aa7a36f88ba3,"['5a83ed81d2fc9f3f3179blob', '89422c054778d188fb31blob', '04160b914082f0ed0860blob', '16706947ee95507f02b4blob', '42b7a2214a6f585be1e0blob', '04ea9faeaa37b129d8b3blob', '19d66c7ee3466fff9041blob', '06f3d6da5488bdf7b4e8blob', '120fbd125692e0d408e6blob', 'fbae2f929fcbce21884eblob', None, None]","stitches mens red white washington nationals hoodies sweatshirt baseball mlb lstitches mens red white washington nationals hoodies sweatshirt baseball mlb l
"
8,5f77c340e9b0a823cc9eff4e,"['bae945c4a14de759fcecblob', '209fe901c20490025acablob', '3b4154640e4bb2196254blob', '27329acecff22d1a7104blob', '8cb8202465f4e93ac37fblob', '657a7a876cf44976339fblob', '810106a83f58e6d32f16blob', '4bf06b6849ed0a693b2eblob', 'f6b888424cc27a56189cblob', None, None, None]","black diamond mens alpine start full zip purple hoodie large long sleeves nwtblack diamond mens alpine start full zip purple hoodie large long sleeves nwt
brand: black diamond equipment
category: men
men"
9,5fdd722239a7bf6bd8613966,"['238bc3a39724644c49f2blob', 'f0681b459c7e93a9bc3fblob', '6ea06ca8c8c49dad111ablob', '51cb0d458cd65c0c62c3blob', 'af18944f6efaf42ba734blob', '8948d59a3e1f860a5005blob', None, None, None, None, None, None]","carhartt mens long sleeve pouch pockets burgundy hoodie sweater size large carhartt mens long sleeve pouch pockets burgundy hoodie sweater size large 
brand: moto x4
model: carmine
category: men
color: tan
men"
