,prod_id,images,string
0,5f6971a92cbab809a574a225,"['df40d7d76bba06ce49f8blob', '257de5b623ea256475f4blob', '73e165d6aa5d57163d57blob', '94c6ef3839cd0a9f2f37blob', 'fa7f7a3a9abdd6ee6718blob', 'c8e50e297b4633dca5b6blob', '617012e1a78ce7abdffcblob', 'fce50071d61034ad2326blob', None, None, None, None]","mencivil society mens charcoal bowery knit trucker jacket size small mediumcivil society mens charcoal bowery knit trucker jacket size small medium
brand: civil society 
category: men
"
1,5f6a4e597b02bf7617bfb8b6,"['a79684759c8b56f59868blob', '29d54afbf60d7df91891blob', 'e7201e6ef2340f78b5fdblob', 'f331883a23d89505edcbblob', 'eac611e2a50d21198810blob', '291a47e17a22b65cdf6eblob', '0bc668830d6a6636a038blob', 'f0ad82c8c642ee094409blob', '2f518d774178948bfdaablob', '2a0001fb084d9be21952blob', None, None]","menxray jeans mens blue patch full zip bomber jacket coat size smallxray jeans mens blue patch full zip bomber jacket coat size small
brand: x ray jeans
category: men
"
2,5f6a4f257b02bf7617bfb8b8,"['23ff07fa23a339b85f76blob', 'e5e5e4996f21a6c35acdblob', 'f1c40fe21e29db07ecbablob', '60a7252c0e552d849caablob', 'd72a0131eab2771e679bblob', '280937c033af57471dd3blob', '3310577dd40305e2bdf4blob', 'a866b49d731328f7b548blob', '9d494f65988be8f91a25blob', '98abcc46134dfdbf8ba8blob', '8ec92da6e7c99c723b75blob', '2a45117d8549f9fd4911blob']","mennoize mens royal blue finn puffer full zip lightweight hooded jacket size smallnoize mens royal blue finn puffer full zip lightweight hooded jacket size small
brand: noize
category: men
"
3,5f6a51097b02bf7617bfb8c7,"['9b4a9b2b3c2c7a3cc68fblob', '973c045af73451ddf2e8blob', 'b285fc3879d1492aa070blob', '102f8c9c4cd6d3235df5blob', 'd98a35af04614e2a69a9blob', '45b45a050a763c226195blob', 'abb0cafb3c7426514c54blob', 'cf14c1bd9333518dfeb5blob', 'f708edc51e542bd98c44blob', '3e50d6ab4168253202f1blob', '1b1757e122a6bd35867ablob', None]","mensave the duck mens gray gigax full zip puffer vest jacket size medium largesave the duck mens gray gigax full zip puffer vest jacket size medium large
brand: save the duck
category: men
"
4,5f6abbd57b02bf7617bfb96a,"['170070e97096c9307675blob', 'b8d0aca4ef25f5bf78ddblob', 'd3a5e23c78587a8c15deblob', 'de5b0e71331c6a8ee569blob', 'ee1227449b6018e1b461blob', '58b3bcee90400335d0d2blob', 'db89a9c7235d87f5604cblob', '5cf6f44a744aa4f561a1blob', '5e213db02bb4050ab4aeblob', 'efa3f644851825a7ed18blob', None, None]","mensave the duck mens green gigax full zip puffer vest jacket size medium largesave the duck mens green gigax full zip puffer vest jacket size medium large
brand: save the duck
category: men
"
5,5f6abcff7b02bf7617bfb96c,"['c73660836f3a86362b9cblob', 'b74201a63e001081941cblob', '6269dab6a43f334ec61bblob', '3c3121184101905597ccblob', 'dd397796b1bf3875d5c8blob', 'a37d346229fd83062159blob', 'ef75702eea7381fa8113blob', '48937bb5bba1c7945873blob', None, None, None, None]","menperry ellis mens beige full zip lightweight harrington jacket size mediumperry ellis mens beige full zip lightweight harrington jacket size medium
brand: perry ellis
category: men
"
6,5f6abdf17b02bf7617bfb96e,"['b66384588db572eb0b4ablob', '7f1479eda9badf3047c7blob', '56ac6cb4f3c5567e72a9blob', '3a1475f8701dc34e11a2blob', '7ebb9c540fcd9cd872b9blob', '7836da597f9d3afae2ceblob', '9bd62726cadc331d17e5blob', 'cfa20ce7c5b0e3a833bablob', '8e7b78e7714330f0e646blob', 'cbf931491897b77ce53eblob', '0240ba51c2f8daac3198blob', '011991a40f74c20be2c8blob']","mencole haan mens button front classic stand collar rain jacket size mediumcole haan mens button front classic stand collar rain jacket size medium
brand: cole haan
category: men
"
7,5f6abea17b02bf7617bfb970,"['c8261ca9be735b6f170eblob', '2a3441db68bb77dd286fblob', '857d666e1cb5a8de0513blob', '1d44264ff6bb58bf1c51blob', '5e0ab2cce940004e055dblob', 'f6b96688925e396cf512blob', '3a6017ab511004d289d8blob', 'c67c360132dedca646e6blob', None, None, None, None]","menfree country mens gray full zipped rainwear hooded jacket size mediumfree country mens gray full zipped rainwear hooded jacket size medium
brand: free country
category: men
"
8,5f6c17eb7b02bf7617bfbabe,"['ddff7606489c382e3c1eblob', 'e70347b1c92a63650284blob', 'be54451c47b369bef879blob', '75dfd68df54bc98c86c4blob', '06211cac07b3000a680fblob', '94d33ebb4fe185018772blob', '6eddb9e4d27bbcf72640blob', 'e37c2dbdaf9e9e7201ecblob', None, None, None, None]","mencivil society mens black rutgers camo print full zip bomber jacket size largecivil society mens black rutgers camo print full zip bomber jacket size large
brand: civil society 
category: men
"
9,5f6c18657b02bf7617bfbac0,"['b05f549e97a5243940f5blob', 'd083e22b1ec7dcbe2bdbblob', '74a8371923ba513f2c07blob', '0f339850455b131f5febblob', '5d6ac42a3b24afc8e4c3blob', '29ec7bf556ee4d17b122blob', '9bf04e951dc52f4afaafblob', 'fb2d66e6a8a2bbdc048ablob', '9a44354fe2c97f3afe1eblob', None, None, None]","menfree country mens blue wind shear zip up camo hooded jacket size largefree country mens blue wind shear zip up camo hooded jacket size large
brand: free country
category: men
"
